TAG;;;;;;;;;;;;;;x;;;;
SUL_ADJ;Sulan;Sulan;Sulan;;Sulan;;;;;;;;;x;;;;
NOC_ADJ;North Italian;Italie du Nord;Norditalienisch;;Italiano del norte;;;;;;;;;x;;;;
THU_ADJ;Thuringian;Thuringe;Thüringer;;Turingia;;;;;;;;;x;;;;
HLL_ADJ;Hollands;Hollandes;Hollands;;Holandas;;;;;;;;;x;;;;
SGM_ADJ;Sigmaringian;Sigmaringian;Sigmaringian;;Sigmaringian;;;;;;;;;x;;;;
GEN_ADJ;Genoese;Génois;Genuesisch;;Genoveses;;;;;;;;;x;;;;
BRB_ADJ;Brabants;Brabants;Brabants;;Brabantes;;;;;;;;;x;;;;
FRI_ADJ;Fries;Frise;Fries;;Frisia;;;;;;;;;x;;;;
BRG_ADJ;Burgundian;Bourguignon;Burgunder;;Borgoñón;;;;;;;;;x;;;;
BWU_ADJ;Württembergs;Wurtembergs;Württembergs;;Württembergs;;;;;;;;;x;;;;
PAL_ADJ;Palatinate;Palatinat;Pfalz;;Palatinado;;;;;;;;;x;;;;
WST_ADJ;Westphalian;Westphalien;Westfalens;;Westfalian;;;;;;;;;x;;;;
HSS_ADJ;Hessian;Toile de jute;Hessisch;;Arpillera;;;;;;;;;x;;;;
BRN_ADJ;Brandenburgian;Brandebourgeois;Brandenburgisch;;Brandeburgo;;;;;;;;;x;;;;
HSL_ADJ;The Hansa;La Hansa;Die Hansa;;El Hansa;;;;;;;;;x;;;;
POM_ADJ;Pomeranian;Poméranien;Pommern;;Pomeranio;;;;;;;;;x;;;;
SIL_ADJ;Silesian;Silésie;Schlesien;;Silesia;;;;;;;;;x;;;;
URH_ADJ;Rhenish;Rhénans;Rheinisch;;Renano;;;;;;;;;x;;;;
governmenttype_and_tag/adj;english;french;german;;spanish;;;;;;;;;x;;;;
FRA_fascist_dictatorship;Vichy France;Vichy France;Vichy Frankreich;;Vichy Francia;;;;;;;;;x;;;;
FRA_fascist_dictatorship_ADJ;French;Français;Französisch;;Francés;;;;;;;;;x;;;;
FRA_absolute_monarchy;The French Empire;L'Empire Français;Das Französische Reich;;El Imperio Francés;;;;;;;;;x;;;;
FRA_absolute_monarchy_ADJ;French;Français;Französisch;;Francés;;;;;;;;;x;;;;
SPA_fascist_dictatorship;Nationalist Spain;Espagne Nationaliste;Nationalistisches Spanien;;España Nacionalista;;;;;;;;;x;;;;
SPA_fascist_dictatorship_ADJ;Spanish;Espagnol;Spanisch;;Spanish;;;;;;;;;x;;;;
NET_proletarian_dictatorship;Batavian Republic;République Batave;Batavische Republik;;República de Batavia;;;;;;;;;x;;;;
NET_proletarian_dictatorship_ADJ;Batavian;Batave;Batavian;;Bátavo;;;;;;;;;x;;;;
culture;;;;;;;;;;;;;;x;;;;
rhinish;Rhinish;Rheinisch;Rheinisch;;Rheinisch;;;;;;;;;x;;;;
burgundian;Burgundian;Bourguignon;Burgunder;;Borgoñón;;;;;;;;;x;;;;
french_provencal;Provençal;Provençal;Provenzalisch;;Provenzal;;;;;;;;;x;;;;
hollander;Hollander;Hollander;Hollander;;Hollander;;;;;;;;;x;;;;
geuzen;Geuzen;Geuzen;Geuzen;;Geuzen;;;;;;;;;x;;;;
d;;;;;;;;;;;;;;x;;;;
annex_ruthenia_title;Annex Ruthenia;Annexe Ruthénie;Anhang Ruthenia;;Anexo Rutenia;;;;;;;;;x;;;;
annex_ruthenia_desc;We have had a historical claim to Ruthenia and we will reclaim. Our power has risen, Ruthenia is ours.;Nous avons eu une revendication historique sur la Ruthénie et nous la réclamerons. Notre pouvoir a augmenté, la Ruthénie est la nôtre.;Wir hatten einen historischen Anspruch auf Ruthenia und werden ihn zurückfordern. Unsere Macht ist gestiegen, Ruthenia gehört uns.;;Hemos tenido un reclamo histórico sobre Rutenia y lo recuperaremos. Nuestro poder ha aumentado, Rutenia es nuestra.;;;;;;;;;x;;;;
the_intergration_of_ruthenia_title;The Integration of Ruthenia;L'intégration de la Ruthénie;Die Integration von Ruthenien;;La integración de la rutenia;;;;;;;;x;;;;
the_intergration_of_ruthenia_desc;Ruthenia has been an autonomous part of the Russian Empire for a long time, we must integrate them. This will upset the Commonwealth and will make their people ready for war.But, this will also give us the ideal opportunity to end the Commonwealth's independence.;La Ruthénie est une partie autonome de l'Empire russe depuis longtemps, nous devons les intégrer. Cela bouleversera le Commonwealth et préparera son peuple à la guerre. Cela nous donnera également l'occasion idéale de mettre fin à l'indépendance du Commonwealth.;Ruthenien war lange Zeit ein autonomer Teil des russischen Reiches, wir müssen sie integrieren. Dies wird das Commonwealth verärgern und sein Volk auf den Krieg vorbereiten. Dies gibt uns auch die ideale Gelegenheit, die Unabhängigkeit des Commonwealth zu beenden.;;Rutenia ha sido una parte autónoma del Imperio Ruso durante mucho tiempo, debemos integrarlos. Esto molestará a la Commonwealth y preparará a su gente para la guerra. Esto también nos dará la oportunidad ideal para poner fin a la independencia del Commonwealth.;;;;;;;;;x;;;;
test_title;Testing;;;;;;;;;;;;x;;;;
test_desc;This is under development;;;;;;;;;;;;x;;;;
support_rebellion_in_ruthenia_title;Support rebellion in Ruthenia;Soutenez la rébellion en Ruthénie;Unterstützen Sie den Aufstand in Ruthenien;;Apoya la rebelión en Rutenia;;;;;;;;;x;;;;
support_rebellion_in_ruthenia_desc; By spending money to support revolution in Ruthenia, we can make Ruthenia independent. This will make it possible to invade Ruthenia without Russian intervention.This decision can be taken as long as Ruthenia is a vassal to the Russians and can be taken multiple times.;En dépensant de l'argent pour soutenir la révolution en Ruthénie, nous pouvons rendre la Ruthénie indépendante. Cela permettra d'envahir les Ruthénie sans intervention de la Russie.Cette décision peut être prise tant que la Ruthénie est un vassal des Russes et peut être prise plusieurs fois.;Indem wir Geld ausgeben, um die Revolution in Ruthenien zu unterstützen, können wir Ruthenien unabhängig machen. Dies wird es ermöglichen, ohne russische Intervention in Ruthenien einzudringen.Diese Entscheidung kann getroffen werden, solange Ruthenia ein Vasall der Russen ist und mehrfach getroffen werden kann.;;Al gastar dinero para apoyar la revolución en Rutenia, podemos hacer que Rutenia sea independiente. Esto permitirá invadir Ruthenia sin la intervención rusa. Esta decisión se puede tomar siempre que Rutenia sea vasallo de los rusos y se pueda tomar varias veces.;;;;;;;;;x;;;;
unification_of_the_lowlands_via_conquest_title;War for Lowland unification;Guerre pour l'unification des basses terres;Krieg um die Vereinigung der Niederungen;;Guerra por la unificación de las tierras bajas;;;;;;;;;x;;;;
unification_of_the_lowlands_via_conquest_desc;The Lowlands have been divided for too long. These lands must be united, even if conquest is necessary.;Les basses terres sont divisées depuis trop longtemps. Ces terres doivent être unies, même si la conquête est nécessaire.;Das Tiefland wurde zu lange geteilt. Diese Länder müssen vereint werden, auch wenn eine Eroberung notwendig ist.;;Las Tierras Bajas se han dividido durante demasiado tiempo. Estas tierras deben estar unidas, incluso si la conquista es necesaria.;;;;;;;;;x;;;;
unite_the_netherlands_title;Unite the Netherlands!;Unissez les Pays-Bas!;Vereinige die Niederlande!;;¡Une los Países Bajos!;;;;;;;;;x;;;;
unite_the_netherlands_desc;We must unite the Lowlands under a Dutch nation. Lang leven Nederland!;Nous devons unir les basses terres sous une nation néerlandaise. Lang leven Nederland!;Wir müssen das Tiefland unter einer niederländischen Nation vereinen. Lang leven Nederland!;;Debemos unir las Tierras Bajas bajo una nación holandesa. Lang leven Nederland!;;;;;;;;;x;;;;
claim_bavaria_title;Claim Bavaria;Revendiquer la Bavière;Anspruch Bayern;;Reclamar Baviera;;;;;;;;;x;;;;
claim_bavaria_desc;Bavaria is rightfully German but it is under Austrian oppression. We must liberate our Bavarian brethren. If we go to war with Austria however, the Holy Roman Empire may fall apart.;La Bavière est légitimement allemande mais elle est sous l'oppression autrichienne. Nous devons libérer nos frères bavarois. Cependant, si nous entrons en guerre avec l'Autriche, le Saint Empire romain pourrait s'effondrer.;Bayern ist zu Recht deutsch, steht aber unter österreichischer Unterdrückung. Wir müssen unsere bayerischen Brüder befreien. Wenn wir jedoch mit Österreich in den Krieg ziehen, kann das Heilige Römische Reich auseinanderfallen.;;Bavaria es legítimamente alemana, pero está bajo la opresión austriaca. Debemos liberar a nuestros hermanos bávaros. Sin embargo, si vamos a la guerra con Austria, el Sacro Imperio Romano puede desmoronarse.;;;;;;;;;x;;;;
guarantee_the_small_states_title;Guarantee the Small States;Garantir les petits États;Garantieren Sie die kleinen Staaten;;Garantizar los pequeños estados;;;;;;;;;x;;;;
guarantee_the_small_states_desc;We must unify the HRE. The only way we can do this is to have the support of all the states for unification. We shall start with the small states that are under the threat of annexation by their neighbours. This will mean we will get great influence over these small states.;Nous devons unifier l'EDH. La seule façon d'y parvenir est d'avoir le soutien de tous les États pour l'unification. Nous commencerons par les petits États menacés d’annexion par leurs voisins. Cela signifiera que nous aurons une grande influence sur ces petits États.;Wir müssen die HRE vereinheitlichen. Der einzige Weg, dies zu tun, besteht darin, die Unterstützung aller Staaten für die Vereinigung zu haben. Wir werden mit den kleinen Staaten beginnen, die von ihren Nachbarn annektiert werden müssen. Dies bedeutet, dass wir großen Einfluss auf diese kleinen Staaten bekommen werden.;;Debemos unificar la EDH. La única forma en que podemos hacer esto es contar con el apoyo de todos los estados para la unificación. Empezaremos por los pequeños estados que están bajo la amenaza de anexión por parte de sus vecinos. Esto significará que obtendremos una gran influencia sobre estos pequeños estados.;;;;;;;;;x;;;;
annex_danzig_title;Annex Danzig;Annexe Danzig;Anhang Danzig;;Anexo Danzig;;;;;;;;;x;;;;
annex_the_pomeranian_hansa_title;Annex The Pomeranian Hansa;Annexe La Hansa de Poméranie;Anhang Die pommersche Hansa;;Anexo La Hansa de Pomerania;;;;;;;;;x;;;;
annex_danzig_desc;Danzig has been under the control of the Hansa for too long. We can end their control if we have enough power to do so. We must be quick in doing this as the Emperor can guarantee the Hansa's independence.;Danzig est sous le contrôle de la Hanse depuis trop longtemps. Nous pouvons mettre fin à leur contrôle si nous avons suffisamment de pouvoir pour le faire. Nous devons agir rapidement car l'Empereur peut garantir l'indépendance de la Hanse.;Danzig steht zu lange unter der Kontrolle der Hansa. Wir können ihre Kontrolle beenden, wenn wir genug Macht dazu haben. Wir müssen dies schnell tun, da der Kaiser die Unabhängigkeit der Hansa garantieren kann.;;Danzig ha estado bajo el control de la Hansa durante demasiado tiempo. Podemos poner fin a su control si tenemos suficiente poder para hacerlo. Debemos ser rápidos en hacer esto ya que el Emperador puede garantizar la independencia de la Hansa.;;;;;;;;;x;;;;
annex_the_pomeranian_hansa_desc;Pomerania has been under the control of the Hansa for too long. We can end their control if we have enough power to do so. We must be quick in doing this as the Emperor can guarantee the Hansa's independence.;Pommeranie est sous le contrôle de la Hanse depuis trop longtemps. Nous pouvons mettre fin à leur contrôle si nous avons suffisamment de pouvoir pour le faire. Nous devons agir rapidement car l'Empereur peut garantir l'indépendance de la Hanse.;Pommern steht zu lange unter der Kontrolle der Hansa. Wir können ihre Kontrolle beenden, wenn wir genug Macht dazu haben. Wir müssen dies schnell tun, da der Kaiser die Unabhängigkeit der Hansa garantieren kann.;;Pomerania ha estado bajo el control de la Hansa durante demasiado tiempo. Podemos poner fin a su control si tenemos suficiente poder para hacerlo. Debemos ser rápidos en hacer esto ya que el Emperador puede garantizar la independencia de la Hansa.;;;;;;;;;x;;;;
annex_the_frisian_hansa_title;Annex the Frisian Hansa;Annexer la Hansa frisonne;Anhang der friesischen Hansa;;Anexo la Frisia Hansa;;;;;;;;;x;;;;
annex_the_frisian_hansa_desc;Frisia has been under the control of the Hansa for too long. We can end their control if we have enough power to do so. We must be quick in doing this as the Emperor can guarantee the Hansa's independence.;Frise est sous le contrôle de la Hanse depuis trop longtemps. Nous pouvons mettre fin à leur contrôle si nous avons suffisamment de pouvoir pour le faire. Nous devons agir rapidement car l'Empereur peut garantir l'indépendance de la Hanse.;Friesland steht zu lange unter der Kontrolle der Hansa. Wir können ihre Kontrolle beenden, wenn wir genug Macht dazu haben. Wir müssen dies schnell tun, da der Kaiser die Unabhängigkeit der Hansa garantieren kann.;;Frisia ha estado bajo el control de la Hansa durante demasiado tiempo. Podemos poner fin a su control si tenemos suficiente poder para hacerlo. Debemos ser rápidos en hacer esto ya que el Emperador puede garantizar la independencia de la Hansa.;;;;;;;;;x;;;;
annex_the_hanoverian_hansa_desc;Hannover has been under the control of the Hansa for too long. We can end their control if we have enough power to do so. We must be quick in doing this as the Emperor can guarantee the Hansa's independence.;Hanovre est sous le contrôle de la Hanse depuis trop longtemps. Nous pouvons mettre fin à leur contrôle si nous avons suffisamment de pouvoir pour le faire. Nous devons agir rapidement car l'Empereur peut garantir l'indépendance de la Hanse.;Hannover steht zu lange unter der Kontrolle der Hansa. Wir können ihre Kontrolle beenden, wenn wir genug Macht dazu haben. Wir müssen dies schnell tun, da der Kaiser die Unabhängigkeit der Hansa garantieren kann.;;Hannover ha estado bajo el control de la Hansa durante demasiado tiempo. Podemos poner fin a su control si tenemos suficiente poder para hacerlo. Debemos ser rápidos en hacer esto ya que el Emperador puede garantizar la independencia de la Hansa.;;;;;;;;;x;;;;
annex_the_hanoverian_hansa_title;Annex the Hanoverian Hansa;Annexer la Hansa de Hanovre;Anhang der Hannoveraner Hansa;;Anexo la Hansa de Hannover;;;;;;;;;x;;;;
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;x;;;;
countr_mod;;;;;;;;;;;;;;x;;;;
supporter_of_unification_of_the_hre;Supporting Holy Roman Unification;Soutenir l'unification romaine;Unterstützung der Vereinigung des Heiligen Römischen Reiches;;Apoyando la unificación del Sacro Imperio Romano Germánico;;;;;;;;;x;;;;
guaranteed_independace;Independence Guaranteed;Indépendance garantie;Unabhängigkeit garantiert;;Independencia garantizada;;;;;;;;;x;;;;
member_of_the_HRE;Member of the Holy Roman Empire;Membre du Saint Empire romain germanique;Mitglied des Heiligen Römischen Reiches;;Miembro del Sacro Imperio Romano Germánico;;;;;;;;;x;;;;
hre_tax;Reichsbesteuern;Reichsbesteuern;Reichsbesteuern;;Reichsbesteuern;;;;;;;;;x;;;;
hre_tax_aus;Reichsbesteuern;Reichsbesteuern;Reichsbesteuern;;Reichsbesteuern;;;;;;;;;x;;;;
